room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13158577,73474571,Entire home/apt,,24,1,0.0,3,1.0,179.0,,56.164726,10.228162,2017-03-30 22:19:32.217173
10334983,32001433,Entire home/apt,,2,0,0.0,8,3.0,149.0,,56.134431,10.169062,2017-03-30 22:19:32.214387
7217756,3973767,Entire home/apt,,24,16,4.5,8,3.0,148.0,,56.154881,10.20272,2017-03-30 22:19:32.209985
5506388,6143853,Entire home/apt,,5,10,5.0,4,2.0,149.0,,56.198617,10.253564,2017-03-30 22:19:32.207704
16867639,81130067,Entire home/apt,,24,3,5.0,5,3.0,172.0,,56.163241,10.210155,2017-03-30 22:19:32.204202
15448303,7997621,Entire home/apt,,24,2,0.0,5,3.0,148.0,,56.158969,10.201112,2017-03-30 22:19:32.199872
15609400,18746185,Entire home/apt,,24,2,0.0,4,3.0,175.0,,56.160442,10.210355,2017-03-30 22:19:32.193108
6380292,11967531,Entire home/apt,,2,0,0.0,4,2.0,149.0,,56.15302,10.181961,2017-03-30 22:19:32.189994
17675437,113836085,Entire home/apt,,24,0,0.0,6,2.0,149.0,,56.16413,10.223445,2017-03-30 22:19:32.185632
5088799,26288720,Entire home/apt,,10,4,5.0,8,4.0,172.0,,56.150041,10.128172,2017-03-30 22:19:32.183564
10099836,51828491,Entire home/apt,,5,0,0.0,4,2.0,148.0,,56.20008,10.252805,2017-03-30 22:19:32.181396
16422308,107648931,Entire home/apt,,9,0,0.0,8,4.0,149.0,,56.134067,10.125278,2017-03-30 22:19:32.178167
17871754,2894698,Entire home/apt,,24,0,0.0,6,3.0,179.0,,56.158409,10.202286,2017-03-30 22:19:32.175156
6934121,17097911,Entire home/apt,,24,1,0.0,6,3.0,179.0,,56.159906,10.202626,2017-03-30 22:19:30.373834
13707287,78679286,Entire home/apt,,24,0,0.0,4,2.0,179.0,,56.146498,10.200912,2017-03-30 22:19:30.370996
16906622,14589459,Entire home/apt,,24,0,0.0,2,1.0,149.0,,56.165994,10.230263,2017-03-30 22:19:30.366997
16929210,15769740,Entire home/apt,,24,0,0.0,4,1.0,172.0,,56.148542,10.202143,2017-03-30 22:19:30.362707
13187414,73786722,Entire home/apt,,1,1,0.0,8,5.0,164.0,,56.119406,10.198349,2017-03-30 22:19:30.360220
11914661,31508144,Entire home/apt,,2,1,0.0,7,4.0,164.0,,56.136666,10.170413,2017-03-30 22:19:30.356638
15497447,68611477,Entire home/apt,,24,11,5.0,8,2.0,149.0,,56.145753,10.205356,2017-03-30 22:19:30.353959
